Player,Eliminations,Deaths,Objective Kills,Objective Time,Damage,Blocked/Reflected,Healing,Ultimate Casts,Win Percentage,Role
1,34.28,11.7,10.77,64,15316,0,1235,4.16,0.613,D
2,37.36,8.86,12.77,64,14489,0,1176,4,0.708,D
3,27.64,8.57,6.59,10,13330,0,0,6.18,0.526,D
4,3.1,6.54,0.74,56,610,0,15106,15.06,0.586,S
5,29.19,8.19,12.46,133,10641,0,8521,21.6,0.759,S
6,25.74,8.7,9.47,59,11302,0,7919,8.08,0.597,S
7,20.55,11.85,10.3,144,7228,0,8779,19.01,0.52,S
8,3.18,6.68,0.59,50,631,0,14562,13.74,0.644,S
9,1.92,7,1.2,70,401,0,14914,15.88,0.755,S
10,15.74,9.21,5.21,25,4535,0,8692,5.58,0.556,S
11,19.2,9.66,8.29,88,9283,0,6537,8.32,0.6,S
12,3.78,7.52,1.04,46,645,0,14118,13.52,0.696,S
13,22,9.08,11.25,135,6346,0,10485,20.75,0.739,S
14,15.62,10.75,5.81,68,4726,0,11215,5.44,0.59,S
15,31.71,7.83,11.73,63,14929,0,8373,8.78,0.708,S
16,16,9,4.67,27,5035,0,8160,3,0.632,S
17,33.53,9.73,8.22,15,12011,0,0,8.35,0.776,D
18,27.33,8,12.42,129,13202,21756,0,4.58,0.75,T
19,3.7,7.89,1.28,56,694,0,16173,13.79,0.547,S
20,19.87,9.91,9.99,131,7342,0,7483,17.88,0.636,S
21,15.19,7.67,4.82,51,5521,0,7581,8.1,0.709,S
22,15.11,7.21,6.2,61,5917,0,10977,5.56,0.639,S
23,2.43,7.61,0.87,57,598,0,13011,14.31,0.595,S
24,14.46,8.62,5.62,57,4570,0,9296,4.74,0.54,S
25,22.41,8.09,8.93,113,7064,0,8246,17.72,0.573,S
26,1.25,10.08,0.33,61,366,0,13464,14.58,0.539,S
27,21,8.67,8.24,111,7323,0,10031,18.07,0.556,S
28,3.01,8.05,0.94,54,528,0,13330,13.16,0.516,S
29,15.58,8.62,5.6,47,4083,0,9381,4.57,0.511,S
30,29.52,6.72,15.24,112,13300,26039,0,15.02,0.72,T
31,38.67,8.33,16.22,111,17984,7847,0,10.94,0.667,T
32,34.5,6.94,11.94,110,14272,9878,0,4.17,0.757,T
33,34.89,11.22,13.56,90,9753,12168,0,3.56,0.444,T
34,37.33,7.56,13.12,87,17046,7544,0,10.37,0.674,T
35,30.81,5.78,12.51,100,15667,0,5022,5.41,0.667,T
36,35.47,5.91,15.56,99,16810,7164,0,9.73,0.707,T
37,32.41,9.54,10.95,95,10496,11992,0,4.27,0.583,T
38,30.44,10.99,10.69,102,9767,12669,0,4.03,0.523,T
39,35.63,7.4,15.17,99,15574,7144,0,8.97,0.686,T
40,30.86,7.29,10.14,121,16114,9252,0,2.57,0.571,T
41,26.71,10.71,11.04,139,14187,23005,0,5.8,0.595,T
42,26.64,10.09,14.45,127,14127,30383,0,11.89,0.455,T
43,27.81,10.89,11.51,146,13668,24767,0,5.38,0.722,T
44,20.24,10.46,9.18,132,10937,19681,0,4.61,0.59,T
45,32.89,7.68,13.94,90,15323,7082,0,8.63,0.604,T
46,33.25,8.43,11.25,76,14788,0,5097,5.64,0.771,T
47,31.94,6.2,11.4,81,13922,0,4882,5.48,0.675,T
48,31.21,6.92,10.61,118,13913,10704,0,2.24,0.569,T
49,32.96,6.34,11.54,84,14901,10281,0,2.66,0.72,T
50,37.07,5.69,11.62,88,16163,7368,0,3.79,0.897,T
51,25.61,11.06,8.65,91,13603,21989,0,5.45,0.569,T
52,38.96,8.29,15.43,93,19761,8184,0,9.63,0.636,T
53,24.17,8.94,14.19,129,14561,27851,0,12.92,0.554,T
54,38.34,9.77,13.29,79,15531,0,1018,4.58,0.75,D
55,43.26,11.29,11.82,85,17517,2330,0,11.03,0.706,D
56,34.41,12.33,10.28,30,16488,0,0,4.97,0.692,D
57,33.04,8.23,10.15,39,17105,0,2383,6.31,0.695,D
58,36.67,9,9.77,22,18198,0,2042,6.49,0.795,D
59,34.28,10.8,9.54,54,18559,0,0,5.99,0.611,D
60,34.12,10.46,11.56,43,18695,0,2224,5.9,0.596,D
61,33.1,12.24,10.66,60,14959,0,0,6.32,0.775,D
62,31.16,10.67,9.72,53,15757,0,0,5.91,0.587,D
63,38.31,7.97,11.39,58,14709,1945,0,8.26,0.785,D
64,37.41,13.66,11.02,67,18280,2974,0,10.34,0.586,D
65,34.41,12.33,10.28,30,16488,0,0,4.97,0.692,D
66,32.04,10.66,9.43,50,14991,0,0,3.7,0.664,D
67,29.91,8.9,8.91,35,15654,0,2426,5.28,0.583,D
68,36.02,8.93,11.13,48,12551,0,1101,3.38,0.636,D
69,28.35,9.86,9.93,64,18287,0,0,5.8,0.655,D
70,31.36,10.36,8.9,48,19684,0,0,6.45,0.65,D
71,33.99,9.53,11.36,49,18952,0,0,4.57,0.617,D
72,28.57,11.55,8.76,56,13611,0,0,3.66,0.546,D
73,30.21,9.67,5.9,8,12660,0,0,2.17,0.624,D
74,30.91,9.74,14.31,75,20241,0,1998,3.84,0.647,D
75,0.97,6.71,0.3,49,223,0,13143,12.56,0.631,S
76,33.37,7.21,12.55,121,14119,8534,0,2.7,0.564,T
77,21.04,10.14,8.54,109,10287,22032,0,4.48,0.735,T
78,38.06,8.52,11.28,69,15365,2455,0,8.16,0.667,D
79,29.95,10.07,9.93,83,9794,11825,0,3.46,0.608,T
80,31.52,8.38,10.38,84,9176,13239,0,3.44,0.633,T
